From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
SUT31_ARATH	Q9SV13	SUT31_ARATH	Sulfate transporter 3.1 (AST12) (AtST1)	SULTR3;1 ST1 At3g51895 ATEM1.15 F4F15.10	Arabidopsis thaliana (Mouse-ear cress)	658	FUNCTION: H(+)/sulfate cotransporter that may play a role in the regulation of sulfate assimilation.			TISSUE SPECIFICITY: Expressed only in leaves.	chloroplast [GO:0009507]; membrane [GO:0016020]; secondary active sulfate transmembrane transporter activity [GO:0008271]; sulfate transmembrane transporter activity [GO:0015116]; symporter activity [GO:0015293]; sulfate transport [GO:0008272]	GO:0008271; GO:0008272; GO:0009507; GO:0015116; GO:0015293; GO:0016020
SR30_ARATH	Q9XFR5	SR30_ARATH	Serine/arginine-rich splicing factor SR30 (At-SR30) (At-SRp30) (AtSR30) (SF2/ASF-like splicing modulator Srp30) (Serine-arginine rich RNA binding protein 30)	SR30 SRP30 At1g09140 T12M4.19	Arabidopsis thaliana (Mouse-ear cress)	268	FUNCTION: Regulatory splicing factor that modulates alternative splicing and gene expression in specific cell types. Autoregulates its own expression. Probably involved in intron recognition and spliceosome assembly. {ECO:0000269|PubMed:10215626}.			TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:10215626, ECO:0000269|PubMed:15034145}.	cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0003723; GO:0005634; GO:0005681; GO:0005829; GO:0016607
SR34A_ARATH	A2RVS6	SR34A_ARATH	Serine/arginine-rich splicing factor SR34A (At-SR34A) (At-SRp34A) (AtSR34A) (SER/ARG-rich protein 34A)	SR34A SRP34A At3g49430 T1G12.13 T9C5.30	Arabidopsis thaliana (Mouse-ear cress)	300	FUNCTION: Probably involved in intron recognition and spliceosome assembly.				nuclear speck [GO:0016607]; nucleolus [GO:0005730]; spliceosomal complex [GO:0005681]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]	GO:0000398; GO:0003723; GO:0003729; GO:0005681; GO:0005730; GO:0008380; GO:0016607
SR34B_ARATH	F4JHI7	SR34B_ARATH	Serine/arginine-rich splicing factor SR34B (At-SR34B) (At-SRp34B) (AtSR34B) (SER/ARG-rich protein 34B)	SR34B SRP34B At4g02430 T14P8.21	Arabidopsis thaliana (Mouse-ear cress)	278	FUNCTION: Probably involved in intron recognition and spliceosome assembly.				nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0003723; GO:0005681; GO:0016607
RIDA_ARATH	Q94JQ4	RIDA_ARATH	Reactive Intermediate Deaminase A, chloroplastic (EC 3.5.99.10) (2-iminobutanoate/2-iminopropanoate deaminase)	RIDA At3g20390 MQC12.15	Arabidopsis thaliana (Mouse-ear cress)	187	FUNCTION: Hydrolyzes the Ser-derived enamine/imine product of Thr dehydratase, protecting the plastidial branched-chain aminotransferase BCAT3 (AC Q9M401) from inactivation. Involved in Ile biosynthesis. {ECO:0000269|PubMed:25070638}.	PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; 2-oxobutanoate from L-threonine.		TISSUE SPECIFICITY: Expressed in leaves, petiols, petals, carpels and shoot apex. {ECO:0000303|PubMed:25070638}.	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; plant-type vacuole [GO:0000325]; plastid [GO:0009536]; thylakoid [GO:0009579]; 2-iminobutanoate deaminase activity [GO:0120242]; 2-iminopropanoate deaminase activity [GO:0120243]; deaminase activity [GO:0019239]; branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; organonitrogen compound catabolic process [GO:1901565]; response to toxic substance [GO:0009636]	GO:0000325; GO:0005829; GO:0009082; GO:0009097; GO:0009507; GO:0009536; GO:0009570; GO:0009579; GO:0009636; GO:0009941; GO:0019239; GO:0120242; GO:0120243; GO:1901565
ANXD5_ARATH	Q9C9X3	ANXD5_ARATH	Annexin D5 (AnnAt5)	ANN5 ANNAT5 At1g68090 T23K23.6	Arabidopsis thaliana (Mouse-ear cress)	316				TISSUE SPECIFICITY: Expressed mainly in roots and flowers. Lower in stems and leaves. {ECO:0000269|PubMed:11457958}.	cytoplasm [GO:0005737]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; phospholipid binding [GO:0005543]; pollen development [GO:0009555]; pollen germination [GO:0009846]; pollen tube growth [GO:0009860]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to red or far red light [GO:0009639]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]	GO:0005509; GO:0005543; GO:0005544; GO:0005737; GO:0009408; GO:0009409; GO:0009414; GO:0009555; GO:0009639; GO:0009651; GO:0009846; GO:0009860; GO:0051015
S401_ARATH	Q9C7N7	S401_ARATH	Protein S40-1 (AtS40-1)	S40-1 At1g29640 F15D2.20	Arabidopsis thaliana (Mouse-ear cress)	140			DEVELOPMENTAL STAGE: Accumulates during senescence. {ECO:0000269|PubMed:20238146}.		cytoplasm [GO:0005737]; leaf senescence [GO:0010150]; response to absence of light [GO:0009646]; response to bacterium [GO:0009617]	GO:0005737; GO:0009617; GO:0009646; GO:0010150
S407_ARATH	Q9LKA1	S407_ARATH	Protein S40-7 (AtS40-7)	S40-7 At3g15040 K15M2.18	Arabidopsis thaliana (Mouse-ear cress)	243			DEVELOPMENTAL STAGE: Accumulates during senescence. {ECO:0000269|PubMed:20238146}.		cytoplasm [GO:0005737]; leaf senescence [GO:0010150]; response to abscisic acid [GO:0009737]; response to salicylic acid [GO:0009751]	GO:0005737; GO:0009737; GO:0009751; GO:0010150
BPS1_ARATH	Q9LMM6	BPS1_ARATH	Protein BPS1, chloroplastic (Protein BYPASS 1)	BPS1 At1g01550 F22L4.9	Arabidopsis thaliana (Mouse-ear cress)	349	FUNCTION: Required for normal root and shoot development. Prevents constitutive production of a root mobile carotenoid-derived signaling compound that is capable of arresting shoot and leaf development. {ECO:0000269|PubMed:15458645, ECO:0000269|PubMed:17217459}.			TISSUE SPECIFICITY: Expressed in roots, hypocotyls, cotyledons, leaves, flowers and siliques. {ECO:0000269|PubMed:15458645}.	chloroplast [GO:0009507]; embryo development ending in seed dormancy [GO:0009793]; root development [GO:0048364]; shoot system development [GO:0048367]	GO:0009507; GO:0009793; GO:0048364; GO:0048367
TPPF_ARATH	Q9SU39	TPPF_ARATH	Probable trehalose-phosphate phosphatase F (AtTPPF) (EC 3.1.3.12) (Trehalose 6-phosphate phosphatase) (Trehalose-phosphate phosphatase 5)	TPPF TPP5 At4g12430 T1P17.20	Arabidopsis thaliana (Mouse-ear cress)	368	FUNCTION: Removes the phosphate from trehalose 6-phosphate to produce free trehalose. Trehalose accumulation in plant may improve abiotic stress tolerance (By similarity). {ECO:0000250}.; FUNCTION: Participates in the regulation of trehalose metabolism.	PATHWAY: Glycan biosynthesis; trehalose biosynthesis.			trehalose-phosphatase activity [GO:0004805]; trehalose biosynthetic process [GO:0005992]	GO:0004805; GO:0005992
TPPG_ARATH	Q9SUW0	TPPG_ARATH	Probable trehalose-phosphate phosphatase G (AtTPPG) (EC 3.1.3.12) (Trehalose 6-phosphate phosphatase) (Trehalose-phosphate phosphatase 6)	TPPG TPP6 At4g22590 F7K2.170	Arabidopsis thaliana (Mouse-ear cress)	377	FUNCTION: Removes the phosphate from trehalose 6-phosphate to produce free trehalose. Trehalose accumulation in plant may improve abiotic stress tolerance (By similarity). {ECO:0000250}.	PATHWAY: Glycan biosynthesis; trehalose biosynthesis.			trehalose-phosphatase activity [GO:0004805]; trehalose biosynthetic process [GO:0005992]	GO:0004805; GO:0005992
HEM11_CUCSA	P93111	HEM11_CUCSA	Glutamyl-tRNA reductase 1, chloroplastic (GluTR) (EC 1.2.1.70)	HEMA1	Cucumis sativus (Cucumber)	552	FUNCTION: Catalyzes the NADPH-dependent reduction of glutamyl-tRNA(Glu) to glutamate 1-semialdehyde (GSA). {ECO:0000250}.	PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; 5-aminolevulinate from L-glutamyl-tRNA(Glu): step 1/2.		TISSUE SPECIFICITY: Primarily in cotyledons and hypocotyls of greening cucumber seedlings.	chloroplast [GO:0009507]; glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661]; chlorophyll biosynthetic process [GO:0015995]; protoporphyrinogen IX biosynthetic process [GO:0006782]	GO:0006782; GO:0008883; GO:0009507; GO:0015995; GO:0050661
PP1_PHAVU	P48490	PP1_PHAVU	Serine/threonine-protein phosphatase PP1 (EC 3.1.3.16)		Phaseolus vulgaris (Kidney bean) (French bean)	314					metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]	GO:0017018; GO:0046872
NIA2_TOBAC	P08509	NIA2_TOBAC	Nitrate reductase [NADH] 2 (NR2) (EC 1.7.1.1)	NIA2	Nicotiana tabacum (Common tobacco)	904	FUNCTION: Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria.				FAD binding [GO:0071949]; heme binding [GO:0020037]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; nitrate reductase (NADH) activity [GO:0009703]; nitrate reductase (NADPH) activity [GO:0050464]; nitrate assimilation [GO:0042128]; nitric oxide biosynthetic process [GO:0006809]	GO:0006809; GO:0009703; GO:0020037; GO:0030151; GO:0042128; GO:0043546; GO:0050464; GO:0071949
AUX22_SOYBN	P13088	AUX22_SOYBN	Auxin-induced protein AUX22	AUX22	Glycine max (Soybean) (Glycine hispida)	195	FUNCTION: Aux/IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations. Repression is thought to result from the interaction with auxin response factors (ARFs), proteins that bind to the auxin-responsive promoter element (AuxRE). Formation of heterodimers with ARF proteins may alter their ability to modulate early auxin response genes expression (By similarity). {ECO:0000250}.				nucleus [GO:0005634]; auxin-activated signaling pathway [GO:0009734]; regulation of DNA-templated transcription [GO:0006355]	GO:0005634; GO:0006355; GO:0009734
FATB_ARATH	Q9SJE2	FATB_ARATH	Palmitoyl-acyl carrier protein thioesterase, chloroplastic (EC 3.1.2.-) (16:0-acyl-carrier protein thioesterase) (16:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase) (Acyl-acyl carrier protein thioesterase B1) (AtFATB1)	FATB FATB1 At1g08510 T27G7.19	Arabidopsis thaliana (Mouse-ear cress)	412	FUNCTION: Plays an essential role in chain termination during de novo fatty acid synthesis. Possesses high thioesterase activity for palmitoyl-ACP versus other acyl-ACPs. Substrate preference is 16:0 > 18:1 > 18:0 > 16:1. Plays an essential role in the supply of saturated fatty acids necessary for plant growth and seed development. Contributes to 16:0 production particularly in flowers. May be involved in the synthesis of long chain fatty acid. {ECO:0000269|PubMed:10859193, ECO:0000269|PubMed:12061798, ECO:0000269|PubMed:12671095, ECO:0000269|PubMed:15531590, ECO:0000269|PubMed:18263779, ECO:0000269|PubMed:18326828, ECO:0000269|PubMed:7840673}.			TISSUE SPECIFICITY: Highly expressed in flowers. Expressed in roots, leaves, stems, siliques and seeds. {ECO:0000269|PubMed:10859193, ECO:0000269|PubMed:7840673}.	chloroplast [GO:0009507]; plastid [GO:0009536]; acyl carrier activity [GO:0000036]; acyl-[acyl-carrier-protein] hydrolase activity [GO:0016297]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; fatty acid biosynthetic process [GO:0006633]	GO:0000036; GO:0006633; GO:0009507; GO:0009536; GO:0016296; GO:0016297
FATB_GOSHI	Q9SQI3	FATB_GOSHI	Palmitoyl-acyl carrier protein thioesterase, chloroplastic (EC 3.1.2.-) (16:0-acyl-carrier protein thioesterase) (16:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase) (PATE)	FATB1	Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)	413	FUNCTION: Plays an essential role in chain termination during de novo fatty acid synthesis. High thioesterase activity for palmitoyl-ACP versus other acyl-ACPs.				chloroplast [GO:0009507]; acyl carrier activity [GO:0000036]; acyl-[acyl-carrier-protein] hydrolase activity [GO:0016297]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]	GO:0000036; GO:0009507; GO:0016296; GO:0016297
CYL3_ARATH	Q94LA9	CYL3_ARATH	Cyclase-like protein 3	CYCLASE3 At1g44542 T18F15.4	Arabidopsis thaliana (Mouse-ear cress)	271					extracellular region [GO:0005576]; nucleus [GO:0005634]; arylformamidase activity [GO:0004061]; tryptophan catabolic process to kynurenine [GO:0019441]	GO:0004061; GO:0005576; GO:0005634; GO:0019441
CYL3_ORYSJ	Q0J6H8	CYL3_ORYSJ	Cyclase-like protein 3 (OsCYL3)	CYL3 Os08g0319900 LOC_Os08g23100 OJ1136_D12.114 P0465H09.131	Oryza sativa subsp. japonica (Rice)	270	FUNCTION: May be involved in response to stresses. {ECO:0000250|UniProtKB:Q6YX89}.			TISSUE SPECIFICITY: Highly expressed in leaf sheaths. leaf collars and flag leaves. Expressed in roots, stems, glumes, young panicles and pistils. {ECO:0000269|PubMed:25974367}.	extracellular region [GO:0005576]; arylformamidase activity [GO:0004061]; tryptophan catabolic process to kynurenine [GO:0019441]	GO:0004061; GO:0005576; GO:0019441
SGR_CAPAN	A9YF60	SGR_CAPAN	Protein STAY-GREEN homolog, chloroplastic (CaSGR) (Protein CHLOROPHYLL RETAINER)	SGR CL T459_00403	Capsicum annuum (Capsicum pepper)	266	FUNCTION: Required to trigger chlorophyll degradation during leaf senescence and fruit ripening. {ECO:0000269|PubMed:18359841, ECO:0000269|PubMed:18427769}.		DEVELOPMENTAL STAGE: Expressed during fruit ripening, but not during fruit development (PubMed:18359841, PubMed:18427769). Expressed during leaf senescence, but not during leaf development (PubMed:18427769). {ECO:0000269|PubMed:18359841, ECO:0000269|PubMed:18427769}.		chloroplast [GO:0009507]; chlorophyll catabolic process [GO:0015996]	GO:0009507; GO:0015996
DCAM_IPONI	Q96471	DCAM_IPONI	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]	SAMDC SDCG1	Ipomoea nil (Japanese morning glory) (Pharbitis nil)	362		PATHWAY: Amine and polyamine biosynthesis; S-adenosylmethioninamine biosynthesis; S-adenosylmethioninamine from S-adenosyl-L-methionine: step 1/1.			adenosylmethionine decarboxylase activity [GO:0004014]; spermidine biosynthetic process [GO:0008295]; spermine biosynthetic process [GO:0006597]	GO:0004014; GO:0006597; GO:0008295
ASOL_TOBAC	P29162	ASOL_TOBAC	L-ascorbate oxidase homolog (EC 1.10.3.-) (Pollen-specific protein NTP303)		Nicotiana tabacum (Common tobacco)	554	FUNCTION: Probable oxidoreductase that may be involved in pollen tube growth. {ECO:0000269|PubMed:1600146}.		DEVELOPMENTAL STAGE: Appears after the first haploid mitosis and are expressed during microgametogenesis, germination and tube growth. {ECO:0000269|PubMed:1600146}.	TISSUE SPECIFICITY: Pollen. {ECO:0000269|PubMed:1600146}.	extracellular space [GO:0005615]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	GO:0005507; GO:0005615; GO:0016491
CINV2_ARATH	Q67XD9	CINV2_ARATH	Alkaline/neutral invertase CINV2 (EC 3.2.1.26) (Alkaline/neutral invertase I) (A/N-INVI) (Cytosolic invertase 2)	CINV2 INVI At4g09510 T15G18.70	Arabidopsis thaliana (Mouse-ear cress)	558	FUNCTION: Cytosolic invertase that may cleave sucrose into glucose and fructose, and that is involved in the regulation of root growth. May regulate sugar-mediated root development by controlling sucrose catabolism in root cells. {ECO:0000269|PubMed:19470642}.				chloroplast [GO:0009507]; cytosol [GO:0005829]; beta-fructofuranosidase activity [GO:0004564]; glycopeptide alpha-N-acetylgalactosaminidase activity [GO:0033926]; sucrose alpha-glucosidase activity [GO:0004575]; root development [GO:0048364]; sucrose catabolic process [GO:0005987]	GO:0004564; GO:0004575; GO:0005829; GO:0005987; GO:0009507; GO:0033926; GO:0048364
INVF_ARATH	Q9C560	INVF_ARATH	Probable alkaline/neutral invertase F (A/N-INVF) (EC 3.2.1.26)	INVF At1g72000 F17M19.15 F28P5.11	Arabidopsis thaliana (Mouse-ear cress)	499	FUNCTION: Invertase that cleaves sucrose into glucose and fructose. {ECO:0000250|UniProtKB:Q9LQF2}.				glycopeptide alpha-N-acetylgalactosaminidase activity [GO:0033926]; sucrose alpha-glucosidase activity [GO:0004575]; sucrose catabolic process [GO:0005987]	GO:0004575; GO:0005987; GO:0033926
BAM1_ARATH	Q9LIR6	BAM1_ARATH	Beta-amylase 1, chloroplastic (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 7) (Thioredoxin-regulated beta-amylase) (TR-BAMY)	BAM1 BMY7 TRBAMY At3g23920 F14O13.12	Arabidopsis thaliana (Mouse-ear cress)	575	FUNCTION: Beta-amylase activity. Can use p-nitrophenyl maltopentaoside (PNPG5) as substrate only in reduced form. Can play a minor role in the starch degradation and maltose metabolism in chloroplasts during the night. More active on phosphorylated glucan. Interacts directly with starch or other alpha-1,4-glucan. {ECO:0000269|PubMed:17631522, ECO:0000269|PubMed:18390594, ECO:0000269|PubMed:19664588}.			TISSUE SPECIFICITY: Expressed in leaves, roots, flowers, pollen, and seeds. {ECO:0000269|PubMed:16698902}.	chloroplast [GO:0009507]; amylopectin maltohydrolase activity [GO:0102229]; beta-amylase activity [GO:0016161]; response to water deprivation [GO:0009414]; starch catabolic process [GO:0005983]	GO:0005983; GO:0009414; GO:0009507; GO:0016161; GO:0102229
PGLR1_ARATH	P49062	PGLR1_ARATH	Exopolygalacturonase clone GBGE184 (ExoPG) (EC 3.2.1.67) (Galacturan 1,4-alpha-galacturonidase) (Pectinase)	PGA3 At1g02790 F22D16.22 T14P4_2	Arabidopsis thaliana (Mouse-ear cress)	422	FUNCTION: May function in depolymerizing pectin during pollen development, germination, and tube growth. Acts as an exo-polygalacturonase.				extracellular region [GO:0005576]; galacturan 1,4-alpha-galacturonidase activity [GO:0047911]; polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]	GO:0004650; GO:0005576; GO:0005975; GO:0047911; GO:0071555
